"hp_conf_index","alpha","lambda"
1730,0.601828285725787,0.00304501418677825
1035,0.00394833879545331,0.144748151633447
1959,0.654067937284708,0.000981631775433173
1023,0.988891728920862,0.108552902057231
1889,0.829109395388514,0.00435812197157937
1574,0.000405043363571167,0.00516192204564544
1146,0.817230444401503,0.0279597729263624
1969,0.776929248124361,0.00198228038473854
1293,0.315260796807706,0.000993942878828322
1784,0.0656056352891028,0.0749353839993265
1134,0.937385849654675,0.00105695773231439
1904,0.0115372252184898,4.99075247445675
1357,0.68552095326595,0.00441449477574964
1368,0.925140294479206,0.00215617777724799
1893,0.625878707272932,0.0011941900360934
1379,0.0554021787829697,0.144977871679366
1026,0.514211784349754,0.173943382483681
1092,0.000238896580412984,0.00153972073161467
1537,0.00346770393662155,0.0101797900875136
1905,0.567891015904024,0.00525800871657663
1014,0.255428824340925,0.0145367514081656
1701,0.765520478598773,0.00791196929307715
1017,0.978226428385824,0.00455468811920223
1086,0.563646841561422,0.00137752288543024
1718,0.298152282601222,0.0534152807340721
1509,0.902805796358734,0.0011432830766564
1683,0.748729828745127,0.0320400870166996
1398,0.906942480476573,0.000997550137231592
1472,0.00143389846198261,0.0231637664352717
1811,0.158960648812354,0.000997694639918009
1996,0.137397162383422,0.0389601697335573
1080,0.00157055421732366,0.00392547964930696
1740,0.859278114512563,0.00304536187812389
1826,0.962842692388222,0.00253648860505125
1963,0.0271177776157856,0.121270084515154
1050,0.618838207330555,0.00114436658094149
1363,0.279573498759419,0.00349883037794941
1652,0.954902932746336,0.00119095394703385
1678,0.274119541049004,0.00102714444857211
1171,0.729730096645653,0.00265670159568033
1300,0.0325174834579229,0.155890121771946
1006,0.519095949130133,0.00132899041636112
1478,0.906050957273692,0.0950872539589437
1695,0.0462378135416657,0.00426563324917242
1595,0.805811213329434,0.00472170909121197
1879,0.925339963752776,0.00122481042725261
1068,0.828158485237509,0.0288661777919046
1027,0.390203467104584,0.615278966069991
1176,0.136490360135213,0.00117003083379182
1932,0.950203040381894,0.00840908884057473
1719,0.05747115239501,0.0670864142151729
1233,0.304097996791825,0.034129304083383
1621,0.471713925013319,0.00588794841409339
1966,0.900965292239562,0.00254431665079857
1881,0.912751579657197,0.00236821946728909
1460,0.845736156217754,0.0259046570510707
1564,0.0388159311842173,0.0133129963499118
1641,0.313981684856117,0.00105141419775764
1347,0.954434238374233,0.00459213887701084
1219,0.547426078235731,0.00143167101475451
1609,0.441774149890989,0.00321796244441779
1282,0.0498921528924257,0.152908592749894
1332,0.00237810681574047,0.0206739297785795
1824,0.0468536866828799,0.102043158850044
1503,0.519560450455174,0.00139262139575638
1512,0.76854715985246,0.00104311030364463
1888,0.097642665496096,0.0451906474876062
1002,0.937075413297862,0.00233061535333966
1489,0.0836952936369926,0.00115531975182114
1577,0.0172918252646923,0.175149699731239
1634,0.24205811903812,0.00109155132026373
1764,0.00898262416012585,0.0142024800796902
1935,0.773493236629292,0.00142071771614856
1702,0.50504457950592,0.00383636425113087
1458,0.672568153357133,0.00132932869487084
1354,0.164627394406125,0.0533509514615597
1065,0.849689718568698,0.151661884150602
1776,0.0110090409871191,0.00939187557113605
1442,0.92132977838628,0.0279422094827544
1567,0.737453325418755,0.00481430323837507
1152,0.324085952481255,0.00110725158062712
1371,0.0907359647098929,0.0795292662158662
1644,0.831371922045946,0.00134178465813401
1464,0.0728918248787522,0.00484753215194751
1013,0.934672247152776,0.00799778210809851
1148,0.94472032552585,0.0931320131057651
1698,0.945457234047353,0.00141825279061459
1943,0.0724018786568195,0.00204482214374989
1277,0.319274115143344,0.0119303773826175
1291,0.867228663060814,0.00329718258912983
1018,0.117487361654639,0.0401460576648704
1629,0.721333573339507,0.00118040766854694
1671,0.470720700686797,0.00588981104910517
1214,0.0609497462864965,0.195886574344478
1353,0.0736677951645106,0.00420505978393041
1175,0.427494465606287,0.00335757929934049
1221,0.489990570582449,0.00150155605950185
1675,0.0956614073365927,0.147792553171202
1043,0.0374310328625143,0.163450360720097
1684,0.955186023144051,0.00498259996718735
