"hp_conf_index","k","distance"
1031,28,2
1001,17,2
1084,12,2
1038,30,2
1017,20,2
1030,2,2
1011,24,2
1041,22,2
1016,14,2
1005,10,2
1119,19,2
1006,4,2
1039,11,2
1003,1,2
1057,23,2
1083,29,2
1049,28,2
1009,17,2
1125,12,2
1129,30,2
1029,20,2
1052,2,2
1037,24,2
1046,22,2
1094,14,2
1036,10,2
1155,19,2
1013,4,2
1087,11,2
1035,1,2
1070,23,2
1089,29,2
1092,28,2
1058,17,2
1185,12,2
1164,30,2
1065,20,2
1064,2,2
1053,24,2
1067,22,2
1104,14,2
1073,10,2
1257,19,2
1025,4,2
1130,11,2
1076,1,2
1106,23,2
1123,29,2
1096,28,2
1140,14,2
1059,21,2
1172,30,2
1069,2,2
1254,12,2
1056,24,2
1077,17,2
1085,20,2
1081,10,2
1337,19,2
1097,22,2
1044,4,2
1146,11,2
1138,1,2
1136,23,2
1135,29,2
1122,28,2
1157,14,2
1068,21,2
1184,30,2
1098,2,2
1353,12,2
1093,24,2
1101,17,2
1177,20,2
1113,10,2
1340,19,2
1045,4,2
1118,22,2
1163,11,2
1150,1,2
1143,23,2
1153,29,2
1178,28,2
1158,14,2
1108,21,2
1197,30,2
1171,2,2
1364,12,2
1100,24,2
1124,17,2
1224,20,2
1147,10,2
1366,19,2
1051,4,2
1121,22,2
1195,11,2
1188,1,2
1182,23,2
1196,29,2
1183,28,2
