"hp_conf_index","ntree","replace","nodesize"
1106,8489,TRUE,1
1759,8500,TRUE,5
1013,7463,FALSE,1
1333,210,TRUE,5
1105,7736,FALSE,3
1928,544,FALSE,4
1468,240,TRUE,2
1956,1745,TRUE,5
1744,7709,TRUE,1
1090,410,FALSE,1
1525,2004,TRUE,1
1918,1458,TRUE,4
1544,225,FALSE,5
1298,1618,FALSE,1
1433,790,TRUE,3
1677,278,TRUE,2
1203,5097,FALSE,4
1906,7825,TRUE,1
1405,5781,TRUE,1
1683,3167,TRUE,1
1558,360,TRUE,1
1603,3599,FALSE,1
1847,359,FALSE,4
1084,1969,FALSE,2
1452,626,FALSE,4
1163,1609,TRUE,5
1235,9927,FALSE,1
1364,9193,TRUE,1
1950,139,TRUE,5
1086,1350,TRUE,1
1463,4573,TRUE,5
1786,181,TRUE,5
1320,9667,TRUE,5
1575,260,TRUE,2
1831,297,FALSE,1
1934,7655,TRUE,1
1328,4869,TRUE,1
1927,191,TRUE,1
1062,9318,TRUE,2
1698,7844,TRUE,5
1016,7649,FALSE,1
1861,9126,TRUE,1
1078,567,FALSE,4
1274,188,TRUE,5
1094,7407,FALSE,3
1471,499,TRUE,2
1498,410,FALSE,1
1730,1609,TRUE,5
1570,3328,TRUE,1
1795,1561,TRUE,4
1047,6012,TRUE,5
1015,846,TRUE,3
1171,2902,FALSE,1
1886,214,FALSE,5
1470,5339,TRUE,1
1690,1258,TRUE,1
1889,4588,FALSE,1
1122,667,FALSE,4
1597,1203,TRUE,1
1060,1076,FALSE,2
1622,1497,TRUE,1
1474,8073,TRUE,5
1445,402,FALSE,4
1049,8822,FALSE,1
1769,704,TRUE,2
1373,3310,TRUE,1
1678,355,TRUE,5
1303,133,TRUE,5
1531,5205,FALSE,4
1615,4816,TRUE,1
1721,250,TRUE,2
1760,7810,FALSE,3
1780,8081,TRUE,1
1568,320,FALSE,1
1749,7169,TRUE,1
1917,10016,TRUE,5
1594,9901,TRUE,2
1817,7309,TRUE,5
1046,8294,FALSE,1
1826,8498,TRUE,1
1980,179,TRUE,5
1036,4669,FALSE,3
1041,578,FALSE,4
1810,1024,TRUE,4
1395,2790,TRUE,5
1566,501,TRUE,2
1183,433,FALSE,1
1748,3629,TRUE,1
1559,5958,TRUE,5
1816,1724,FALSE,1
1573,9767,FALSE,3
1600,832,TRUE,3
1843,141,FALSE,5
1287,953,TRUE,1
1325,1357,TRUE,1
1836,1639,TRUE,3
1361,1328,TRUE,5
1781,1795,FALSE,4
1065,5044,FALSE,2
1160,2309,TRUE,5
